year,country,Public_Debt (%GDP),Energy_Import_Dependency,Tertiary_education_attainment,Inflation_Rate,Unemployment_Variation,Worldwide_Governance_Indicators,Productivity_Variation,GDP_Growth,missing_count
2003,ESP,42.274,82.2260956775872,25.625629,3.038888,11.483,77.7688478,35.60594073482828,2.939289595,0
2003,EST,7.301,30.1426163374306,29.649635,1.334991,10.307,75.1218099,17.52102206553945,7.596303269,0
2003,FIN,41.088,60.6279756640965,33.177582,0.8774385,8.966,86.7083718,48.8322275624324,2.011766939,0
2003,FRA,77.26,51.9019306143333,23.917387,2.098472,8.527,78.4370771,53.0983383192407,0.96782166,0
2003,GAB,,0.0,,,,38.8660463,,,132
2003,GBR,50.333,0.0,27.998173,1.4,4.802,82.5184195,45.21010987970263,3.218516082,0
2003,GEO,,49.2787400462594,,,,49.802238499999994,,,138
2003,GHA,,39.7283328281781,,,,56.3513041,,,132
2003,GNQ,,0.0,,,,26.0546322,,,132
2003,GRC,114.683,76.4057944941676,19.299871,3.530651,9.792,77.51795659999999,28.38302019299715,5.796823085,0
2003,GTM,,23.9563791488573,,,,48.0205621,,,132
2003,HND,,55.4002788495834,,,,49.965491199999995,,,138
2003,HRV,45.014,51.1697384177598,22.7814579,1.766667,14.105,65.7711629,19.70353007703655,,24
2003,HUN,71.895,62.5385257113722,15.416001,4.661017,5.868,76.2018832,1784.1213170349056,3.938779069,0
2003,IDN,30.713,0.0,8.1296101,6.757316,9.673,50.037886799999995,,4.780369122,24
2003,IND,,22.3528918245213,10.595189,3.805866,4.365,62.6734551,,9.39265,48
2003,IRL,27.475,95.1190324417588,26.308289,3.492219,4.907,81.9055611,50.203570524385974,3.013838371,0
2003,IRQ,,0.0,,,,26.2352211,,,132
2003,ISL,72.434,20.4889143459192,27.861868,2.055662,3.522,84.3183177,2824.7996210898114,2.281369743,0
2003,ISR,78.682,100.0,42.89489,0.7076306,13.386,66.9394873,79.89574559942258,1.317722694,0
2003,ITA,109.755,85.3649353296641,10.460108,2.672559,8.651,73.27727329999999,45.18613976174275,0.066625688,0
2003,JAM,,100.0,,,,63.3549636,,,114
2003,JOR,,100.0,,,,44.996159999999996,,,120
2003,JPN,153.206,85.4788968124398,37.422066,-0.3,5.224,75.8499397,2223.4521013196936,1.380109358,0
2003,KAZ,,0.0,,,,39.9794024,,,138
2003,KEN,,16.7385761754146,,,,48.3197427,,,138
2003,KGZ,,49.5988958055432,,,,40.9127734,,,132
