year,country,Inflation_Rate,Unemployment_Variation,Gov_score,Productivity_Variation,GDP_Growth
2015,GRC,-1.735902,24.897,68.5275896,28.879175507432976,-0.228301491
2015,GTM,,,51.71291,,
2015,HND,,,46.292098599999996,,
2015,HRV,-0.4583333,16.15,67.0648751,27.37854699057035,
2015,HUN,-0.06164468,6.627,64.8981107,2624.481744608157,3.65981484
2015,IDN,6.363121,5.99,58.356548499999995,,4.8763223
2015,IND,5.872427,6.1785,62.0542118,,7.48005
2015,IRL,-0.3309598,9.869,81.2097304,90.03607501074663,24.623985534
2015,IRQ,,,38.1866574,,
2015,ISL,1.633058,4.501,83.4046055,4609.564751583532,3.7685903
2015,ISR,-0.6173426,5.251,65.311432,101.72949327675887,1.964983817
2015,ITA,0.03878675,11.896,74.7209854,51.53800745506485,0.885656472
2015,JAM,,,67.169603,,
2015,JOR,,,46.174973699999995,,
2015,JPN,0.8,3.349,77.439983,2435.2108371925406,1.799995443
2015,KAZ,,,43.004810899999995,,
2015,KEN,,,52.192105399999996,,
2015,KGZ,,,52.5021585,,
2015,KWT,,,49.3808048,,
2015,LBY,,,36.4481107,,
2015,LKA,,,50.076906799999996,,
2015,LTU,-0.8840974,9.12,72.63526449999999,29.163102973767774,2.832806305
2015,LUX,0.4747432,6.669,85.03863609999999,98.92435155108002,2.268364645
2015,LVA,0.1742414,9.873,70.0312617,26.4706890079453,3.783363159
2015,MAR,,,45.5432686,,
2015,MDA,,,55.7249705,,
2015,MEX,2.720641,4.336,55.713228099999995,110.7683699168575,2.702323426
2015,MKD,,26.068,52.408724899999996,,
2015,MLT,,5.379,77.6273822,,
2015,MMR,,,34.4122457,,
2015,MNE,,,60.2857813,,
2015,MNG,,,59.8995259,,
2015,MOZ,,,49.7449284,,
2015,MYS,,,49.077325699999996,,
2015,NAM,,,64.6001869,,
2015,NER,,,51.911192199999995,,
2015,NGA,,,47.802782199999996,,
2015,NIC,,,44.137692699999995,,
2015,NLD,0.6002482,7.866,88.2134931,66.12141143096437,2.121038661
2015,NOR,2.171137,4.296,90.34835749999999,459.83229793014215,2.044311848
2015,NPL,,,51.1586551,,
2015,NZL,0.2927033,5.415,88.153218,55.0124701905983,3.64711658
2015,OMN,,,45.6046446,,
2015,PAK,,,42.267891299999995,,
2015,PAN,,,65.6403948,,
2015,PER,,3.431,61.623522799999996,,
2015,PHL,,,57.3640821,,
2015,POL,-0.9333333,7.501,74.2201482,51.50995084233097,4.431780655
2015,PRT,0.4879386,12.905,79.6168079,32.8466571397416,1.589797865
2015,PRY,,,54.300957499999996,,
2015,QAT,,,42.6039811,,
2015,ROU,,6.812,66.1707377,42.7979092031713,
2015,RUS,15.5344,5.567,42.6871599,,-1.972719253
2015,RWA,,,42.7296997,,
2015,SAU,1.204692,,29.0988331,,4.655123167
2015,SDN,,,25.742678299999998,,
2015,SEN,,,58.994951799999996,,
2015,SGP,,,62.5355145,,
2015,SLV,,,55.9485841,,
2015,SRB,,,58.8233259,,
2015,SSD,,,29.313483599999998,,
2015,SUR,,,59.6366823,,
2015,SVK,-0.3252198,11.473,73.0501033,31.962230918287727,5.176879097
2015,SVN,-0.5255523,8.962,72.2921422,34.99611001255492,2.393306639
2015,SWE,-0.04678475,7.39,87.91636559999999,348.6716996266719,4.38824249
2015,SWZ,,,34.7075302,,
2015,SYR,,,22.8593165,,
2015,THA,,,41.9868556,,
2015,TJK,,,34.7585464,,
2015,TKM,,,25.960459999999998,,
2015,TTO,,,65.08177309999999,,
2015,TUN,,,60.257660099999995,,
2015,TUR,7.670854,10.304,46.596237599999995,55.7033683005314,5.805573774
2015,TZA,,,53.447446899999996,,
2015,UGA,,,45.192070699999995,,
2015,UKR,,,54.0960821,,
2015,URY,,,78.021897,,
2015,USA,0.1186271,5.281,79.4057418,72.38392787721745,2.945549047
2015,UZB,,,28.9626952,,
2015,VNM,,,39.2258607,,
2015,ZAF,4.518691,25.15,67.18763059999999,,1.321862237
2015,ZMB,,,53.4617289,,
2015,ZWE,,,33.6038442,,
2016,AGO,,,35.9341151,,
2016,ALB,,,58.140733999999995,,
2016,ARE,,,45.448678099999995,,
2016,ARG,34.27723,7.561,64.7174938,,-2.080327847
2016,ARM,,,50.0332574,,
2016,AUS,1.276991,5.714,84.6444258,77.43850773897128,2.692797411
2016,AUT,0.8915924,6.013,83.1997651,65.47824868294238,2.117219477
2016,AZE,,,35.4809914,,
2016,BEL,1.973853,7.83,83.3901975,70.42285759845315,1.193546996
2016,BGD,,,40.512997299999995,,
2016,BGR,-0.7986535,7.575,60.930632499999994,22.93576697059135,
2016,BHR,,,36.2207359,,
2016,BIH,,,52.352174399999996,,
2016,BLR,,,37.368102799999996,,
2016,BOL,,,53.5032991,,
2016,BRA,8.739143,11.611,64.899749,,-3.27591689
2016,BRN,,,46.061986399999995,,
2016,BWA,,,60.7421675,,
2016,CAN,1.42876,7.06,84.8132706,60.9055993328814,1.038550919
2016,CHE,-0.4346187,4.918,85.5404045,80.67392671489077,1.911591063
2016,CHL,3.786194,6.69,76.347994,5587.496811147432,1.753038749
2016,CHN,2.0,2.876,32.5243345,,6.8
2016,CMR,,,38.2898153,,
2016,COL,7.513461,9.539,57.446804099999994,9327.200083226826,2.087382502
2016,CRI,-0.01747885,9.538,76.7771743,3884.180061469685,4.204323252
2016,CUB,,,32.164408,,
2016,CYP,,12.953,74.69940129999999,,
2016,CZE,0.6835042,3.952,74.0399968,301.34793883208204,2.580870139
2016,DEU,0.4917486,4.122,83.3579649,64.4642846869865,2.217077706
2016,DNK,0.25,5.757,88.3687787,305.9590236117616,3.073052493
2016,DOM,,,56.5518283,,
2016,DZA,,,43.2596418,,
2016,ECU,,,50.344157599999996,,
2016,ESP,-0.202598,19.635,76.0217564,46.4749015932303,2.915066248
2016,EST,0.1486849,6.736,79.0334481,31.366201079967276,3.09301917
2016,ETH,,,33.4216416,,
2016,FIN,0.3566845,8.76,88.5675667,61.89890084619975,2.571934232
2016,FRA,0.1833349,10.052,77.56574189999999,65.04986227147326,0.860035339
2016,GAB,,,40.6983731,,
2016,GBR,1.0,4.852,82.548214,53.614763806029124,2.206520216
2016,GEO,,,61.7383794,,
2016,GHA,,,63.3416127,,
2016,GNQ,,,26.9664471,,
2016,GRC,-0.8256576,23.539,68.7174146,28.028467190018027,-0.031795342
2016,GTM,,,52.1987861,,
2016,HND,,,45.3362894,,
2016,HRV,-1.116667,13.015,66.05685249999999,28.479781844139552,
2016,HUN,0.3947693,4.972,63.3774175,2598.269993620976,2.438642203
2016,IDN,3.525805,5.553,58.650123,,5.033069183
2016,IND,4.941027,7.031000000000001,62.1809526,,9.0021
2016,IRL,0.02012477,8.288,80.9430205,87.10455199084925,1.222716574
2016,IRQ,,,37.593547099999995,,
2016,ISL,1.69693,3.345,83.6500202,4718.024081925092,6.218087661
2016,ISR,-0.5351682,4.798,65.78771499999999,103.00943403787733,4.182277912
2016,ITA,-0.09406886,11.688,74.966414,52.361910246974524,1.236233015
2016,JAM,,,67.2494301,,
2016,JOR,,,46.558439199999995,,
2016,JPN,-0.1,3.128,77.2544812,2442.4991855454596,0.70495084
2016,KAZ,,,42.408746099999995,,
2016,KEN,,,51.806515,,
2016,KGZ,,,52.4466773,,
2016,KWT,,,49.5532621,,
2016,LBY,,,35.850197699999995,,
2016,LKA,,,52.433263399999994,,
2016,LTU,0.9055251,7.862,71.7660839,29.20251342551855,2.671922091
2016,LUX,0.2908333,6.291,84.8223299,101.21363561060282,4.978192284
2016,LVA,0.1406308,9.643,69.46191979999999,27.515132013437977,2.551689698
2016,MAR,,,46.8373396,,
2016,MDA,,,55.029531899999995,,
2016,MEX,2.821708,3.885,55.1016159,113.06847081825406,1.772493238
2016,MKD,,23.724,51.456437199999996,,
2016,MLT,,4.687,77.21592319999999,,
2016,MMR,,,40.3548903,,
2016,MNE,,,58.632918,,
2016,MNG,,,60.5219512,,
2016,MOZ,,,46.7149692,,
2016,MYS,,,48.8686207,,
2016,NAM,,,64.19663899999999,,
2016,NER,,,48.9119744,,
2016,NGA,,,46.6523646,,
2016,NIC,,,41.6970284,,
2016,NLD,0.3166667,6.988,88.1113048,66.73571573962386,2.424808729
2016,NOR,3.55,4.679,90.35041749999999,458.9835166023166,1.291584105
2016,NPL,,,52.577919699999995,,
2016,NZL,0.6462372,5.146,88.08985729999999,55.365079087808525,3.951270905
2016,OMN,,,45.962950299999996,,
2016,PAK,,,42.4304877,,
2016,PAN,,,65.4025867,,
2016,PER,,4.089,61.494144399999996,,
2016,PHL,,,57.2807493,,
2016,POL,-0.5833333,6.161,72.0482818,52.76739345487775,3.031187768
2016,PRT,0.6073971,11.45,79.75748759999999,33.33362337517505,2.004141987
2016,PRY,,,53.989558499999994,,
2016,QAT,,,41.8861673,,
2016,ROU,,5.901,66.25307819999999,44.75727366322607,
2016,RUS,7.042436,5.537,43.103673699999995,,0.193671101
2016,RWA,,,42.503971899999996,,
2016,SAU,2.06741,,28.9441146,,1.704047392
2016,SDN,,,24.7988793,,
2016,SEN,,,59.8624259,,
2016,SGP,,,62.889091099999995,,
2016,SLV,,,56.1060715,,
2016,SRB,,,58.6145072,,
2016,SSD,,,23.9064572,,
2016,SUR,,,59.698063499999996,,
2016,SVK,-0.5200102,9.644,73.07420069999999,31.756402045010027,1.947818415
2016,SVN,-0.05499954,8.0,72.6792483,36.62972355088425,3.034415894
2016,SWE,0.9842693,6.944,87.9171497,348.9812329754825,2.131190312
2016,SWZ,,,33.6323715,,
2016,SYR,,,22.1976419,,
2016,THA,,,41.8779464,,
2016,TJK,,,33.1822985,,
2016,TKM,,,25.835585,,
2016,TTO,,,65.1596259,,
2016,TUN,,,60.6011622,,
2016,TUR,7.775134,10.9,44.2562861,58.12242771400385,3.323665122
2016,TZA,,,51.945540799999996,,
2016,UGA,,,42.098033199999996,,
2016,UKR,,,54.5786397,,
2016,URY,,,78.5618891,,
2016,USA,1.261583,4.87,78.5831949,72.99688742002189,1.819452806
2016,UZB,,,29.2477162,,
2016,VNM,,,38.969328499999996,,
2016,ZAF,6.602909,26.503,66.8495473,,0.664552308
2016,ZMB,,,51.3262502,,
2016,ZWE,,,32.438559999999995,,
2017,AGO,,,37.0441054,,
2017,ALB,,,58.7177229,,
2017,ARE,,,44.8697203,,
2017,ARG,34.27723,7.215,67.0355392,,2.818502971
2017,ARM,,,50.8714235,,
2017,AUS,1.948647,5.604,85.2240873,78.0971423905197,2.439875322
2017,AUT,2.081269,5.499,82.5822091,66.59221934951587,2.272249954
2017,AZE,,,35.2399821,,
2017,BEL,2.125971,7.086,82.4161962,71.0996155626253,1.474445553
2017,BGD,,,40.8012562,,
2017,BGR,2.061594,6.164,59.0625499,23.5693367109147,
2017,BHR,,,35.9345159,,
2017,BIH,,,50.145471099999995,,
2017,BLR,,,36.222017,,
2017,BOL,,,52.858906399999995,,
2017,BRA,3.446373,12.583,64.36192369999999,,1.322869044
2017,BRN,,,43.5809263,,
2017,BWA,,,60.559737299999995,,
