Country,shock_id,Year,gdp_growth,gdp_index_dynamic_baseline_100,dynamic_baseline_year,first_negative_year
SVN,2007,2023,2.37583165801655,121.92926900457732,2008,2009
SVN,2007,2024,1.73139714343304,124.04034888513137,2008,2009
SVN,2007,2025,1.05993105374662,125.35509106214052,2008,2009
SWE,2007,2007,,100.0,2007,2008
SWE,2007,2008,-0.923113250067963,99.07688674993203,2007,2008
SWE,2007,2009,-4.25561384207619,94.86055704310377,2007,2008
SWE,2007,2010,5.75076477579255,100.31576454365917,2007,2008
SWE,2007,2011,3.16388567406926,103.48964064688906,2007,2008
SWE,2007,2012,-0.414397702454402,103.06078195377003,2007,2008
SWE,2007,2013,1.13766671801426,104.23327016938332,2007,2008
SWE,2007,2014,2.29577238758285,106.62622880460665,2007,2008
SWE,2007,2015,4.38824673608589,111.30525080993628,2007,2008
SWE,2007,2016,2.13117914731152,113.67736510506042,2007,2008
SWE,2007,2017,1.88282184966647,115.81770737338361,2007,2008
SWE,2007,2018,1.77025535467721,117.86797653982532,2007,2008
SWE,2007,2019,2.60823012869525,120.94224461602049,2007,2008
SWE,2007,2020,-1.93379704032216,118.6034670691367,2007,2008
SWE,2007,2021,5.2258643028773,124.80152331667755,2007,2008
SWE,2007,2022,1.25543620445816,126.36832682411041,2007,2008
SWE,2007,2023,-0.204061304891443,126.11045796742364,2007,2008
SWE,2007,2024,1.99017174586123,128.6202726704675,2007,2008
SWE,2007,2025,1.50840050314354,130.56038151057342,2007,2008
TUR,2007,2008,,100.0,2008,2009
TUR,2007,2009,-4.88269399737999,95.11730600262001,2008,2009
TUR,2007,2010,8.54219853063902,103.24241511835925,2008,2009
TUR,2007,2011,10.9799624002044,114.57839347941804,2008,2009
TUR,2007,2012,4.80762704162723,120.08689530819659,2008,2009
TUR,2007,2013,8.48825683496242,130.28017940708875,2008,2009
TUR,2007,2014,4.60079453820135,136.27410278560902,2008,2009
TUR,2007,2015,5.80557377395959,144.18559635762907,2008,2009
TUR,2007,2016,3.32366512235605,148.97784273522865,2008,2009
TUR,2007,2017,7.82585723703042,160.63663602249534,2008,2009
TUR,2007,2018,3.46815312721414,166.2077605381611,2008,2009
TUR,2007,2019,1.30162360375296,168.371159980595,2008,2009
TUR,2007,2020,1.80306249954635,171.40699722625632,2008,2009
TUR,2007,2021,11.8110944853985,191.65203962323383,2008,2009
TUR,2007,2022,5.4412250781466,202.08025846599267,2008,2009
TUR,2007,2023,5.04512369441596,212.2754574675975,2008,2009
TUR,2007,2024,3.32762310779995,219.33918464247733,2008,2009
TUR,2007,2025,3.6046251495376,227.2455400548908,2008,2009
USA,2007,2008,,100.0,2008,2009
USA,2007,2009,-2.57650023225001,97.42349976774999,2008,2009
USA,2007,2010,2.69519258234852,100.04925070695471,2008,2009
USA,2007,2011,1.56440685537307,101.6144280437637,2008,2009
USA,2007,2012,2.289113386319,103.94049751854499,2008,2009
USA,2007,2013,2.11783009786468,106.14178065886303,2008,2009
USA,2007,2014,2.5238198137262,108.82060794977322,2008,2009
USA,2007,2015,2.94555045599772,112.02597386345725,2008,2009
USA,2007,2016,1.81945147620521,114.0642320986492,2008,2009
USA,2007,2017,2.45762230175086,116.86750010502647,2008,2009
USA,2007,2018,2.96650506916597,120.33438041984964,2008,2009
USA,2007,2019,2.58382533018888,123.44361062206356,2008,2009
USA,2007,2020,-2.08137597860093,120.87428496345827,2008,2009
USA,2007,2021,6.15202248021889,128.31049814721405,2008,2009
USA,2007,2022,2.52421385124292,131.5493295140448,2008,2009
USA,2007,2023,2.93436322119325,135.40946465703126,2008,2009
USA,2007,2024,2.79318715391613,139.19170442901805,2008,2009
USA,2007,2025,2.16138195902251,142.20016881700278,2008,2009
ZAF,2007,2008,,100.0,2008,2009
ZAF,2007,2009,-1.5380891344573,98.4619108655427,2008,2009
ZAF,2007,2010,3.03973878949156,101.45489576299721,2008,2009
ZAF,2007,2011,3.16855422563712,104.66954914981139,2008,2009
ZAF,2007,2012,2.39622780073541,107.17766998544357,2008,2009
ZAF,2007,2013,2.48546067325718,109.84152882344515,2008,2009
ZAF,2007,2014,1.41382496924504,111.39449578455151,2008,2009
ZAF,2007,2015,1.32188055606757,112.866997964857,2008,2009
ZAF,2007,2016,0.66455528494617,113.61706156479256,2008,2009
ZAF,2007,2017,1.15792237724799,114.93265894502292,2008,2009
ZAF,2007,2018,1.55679665046402,116.72192672976827,2008,2009
ZAF,2007,2019,0.259935577075867,117.02532854358736,2008,2009
ZAF,2007,2020,-6.1689177132215,109.80613232210635,2008,2009
ZAF,2007,2021,4.85864864891566,115.1412264866009,2008,2009
ZAF,2007,2022,2.05813661705106,117.51099023024332,2008,2009
ZAF,2007,2023,0.806104552267748,118.45825167190422,2008,2009
ZAF,2007,2024,0.534843531341881,119.09181796831209,2008,2009
ZAF,2007,2025,1.11462608091118,120.41924643161815,2008,2009
AUT,2019,2019,,100.0,2019,2020
AUT,2019,2020,-6.31825516760371,93.68174483239629,2019,2020
AUT,2019,2021,4.92309176061612,98.2937830934414,2019,2020
AUT,2019,2022,5.33096379845654,103.53378908628616,2019,2020
AUT,2019,2023,-0.786244190690233,102.71976068419376,2019,2020
AUT,2019,2024,-0.659089746713982,102.0427452736751,2019,2020
AUT,2019,2025,0.849190974963907,102.90928305714455,2019,2020
BEL,2019,2019,,100.0,2019,2020
BEL,2019,2020,-4.7929839083518,95.2070160916482,2019,2020
BEL,2019,2021,6.25445686466592,101.16169784523588,2019,2020
BEL,2019,2022,4.02460852835886,105.23306016414787,2019,2020
BEL,2019,2023,1.56125539542029,106.87601699372651,2019,2020
BEL,2019,2024,1.09775383828704,108.04925257248344,2019,2020
BEL,2019,2025,0.983117967125924,109.1115041878688,2019,2020
BRA,2019,2019,,100.0,2019,2020
BRA,2019,2020,-3.27675879611742,96.72324120388258,2019,2020
BRA,2019,2021,4.7626043797599,101.32978652570444,2019,2020
BRA,2019,2022,3.01669431085386,104.38659643102571,2019,2020
BRA,2019,2023,3.24165626313067,107.77045107210098,2019,2020
CAN,2019,2019,,100.0,2019,2020
CAN,2019,2020,-5.03823341596652,94.96176658403348,2019,2020
CAN,2019,2021,5.95052804144319,100.61249313326621,2019,2020
CAN,2019,2022,4.69541986535387,105.3366721228734,2019,2020
CAN,2019,2023,1.95308549811913,107.39398739030652,2019,2020
CAN,2019,2024,2.04626608033468,109.59155412659328,2019,2020
CAN,2019,2025,1.85340020736391,111.62272421802889,2019,2020
CHE,2019,2019,,100.0,2019,2020
CHE,2019,2020,-2.25525798669794,97.74474201330206,2019,2020
CHE,2019,2021,6.1762283856019,103.78168051496097,2019,2020
CHE,2019,2022,3.53430291465708,107.44963947428134,2019,2020
CHE,2019,2023,0.825560872805795,108.3367016557519,2019,2020
CHE,2019,2024,1.39033365194118,109.84294327627494,2019,2020
CHE,2019,2025,1.30007790749421,111.27098711475118,2019,2020
CHL,2019,2019,,100.0,2019,2020
CHL,2019,2020,-6.13969694120921,93.86030305879079,2019,2020
CHL,2019,2021,11.3374032409968,104.50162409978755,2019,2020
CHL,2019,2022,2.0639186425539,106.65845260135467,2019,2020
CHL,2019,2023,0.677024831581979,107.38055681044695,2019,2020
CHL,2019,2024,2.80512637105771,110.3927171269254,2019,2020
CHL,2019,2025,2.4592547478091,113.10755526410479,2019,2020
COL,2019,2019,,100.0,2019,2020
COL,2019,2020,-7.1859141376086,92.8140858623914,2019,2020
COL,2019,2021,10.8011981904878,102.8391192250778,2019,2020
COL,2019,2022,7.32827729427979,110.3754550488865,2019,2020
COL,2019,2023,0.84181955575204,111.30461721423832,2019,2020
COL,2019,2024,1.49330728771067,112.966737174657,2019,2020
COL,2019,2025,2.64200544455494,115.95132452134749,2019,2020
CRI,2019,2019,,100.0,2019,2020
CRI,2019,2020,-4.27335432159096,95.72664567840904,2019,2020
CRI,2019,2021,7.93576224742543,103.32328468688293,2019,2020
CRI,2019,2022,4.55149177962494,108.0260354958449,2019,2020
CRI,2019,2023,5.11192183232988,113.54824198895743,2019,2020
CRI,2019,2024,4.32122429647174,118.45491621000079,2019,2020
CZE,2019,2019,,100.0,2019,2020
CZE,2019,2020,-5.30487955463877,94.69512044536123,2019,2020
CZE,2019,2021,4.02901832055149,98.51040419677314,2019,2020
CZE,2019,2022,2.84717065838141,101.31516352051659,2019,2020
CZE,2019,2023,0.047580330897387,101.36336961056887,2019,2020
CZE,2019,2024,1.25131096245923,102.63174056642399,2019,2020
CZE,2019,2025,2.58046673293437,105.28011848917207,2019,2020
DEU,2019,2019,,100.0,2019,2020
DEU,2019,2020,-4.13191443239948,95.86808556760053,2019,2020
DEU,2019,2021,3.90999994204108,99.6165276577296,2019,2020
DEU,2019,2022,1.8092581243061,101.41884777752871,2019,2020
DEU,2019,2023,-0.869647578573322,100.53686122361448,2019,2020
DEU,2019,2024,-0.495851897260364,100.03834728979116,2019,2020
DEU,2019,2025,0.220412185834056,100.25884399772487,2019,2020
DNK,2019,2019,,100.0,2019,2020
DNK,2019,2020,-1.78010601831291,98.2198939816871,2019,2020
DNK,2019,2021,6.50025445756294,104.60443701844531,2019,2020
DNK,2019,2022,0.443832614908323,105.06870562657441,2019,2020
DNK,2019,2023,0.604587766175576,105.70393816687171,2019,2020
