shock_id,baseline_year,dominating_profile,dominated_profile,dominating_node_id,dominated_node_id,dominating_digit_sum,dominated_digit_sum,digit_sum_difference
2019,2019,2-3-4-3-3,2-2-2-1-3,2019__2-3-4-3-3,2019__2-2-2-1-3,15.0,10.0,5.0
2019,2019,2-3-4-3-3,1-2-3-2-1,2019__2-3-4-3-3,2019__1-2-3-2-1,15.0,9.0,6.0
2019,2019,2-3-4-3-3,2-1-2-3-1,2019__2-3-4-3-3,2019__2-1-2-3-1,15.0,9.0,6.0
2019,2019,2-3-4-3-3,1-1-2-2-1,2019__2-3-4-3-3,2019__1-1-2-2-1,15.0,7.0,8.0
2019,2019,2-3-4-3-3,1-1-3-1-1,2019__2-3-4-3-3,2019__1-1-3-1-1,15.0,7.0,8.0
2019,2019,2-3-5-3-2,1-2-3-2-1,2019__2-3-5-3-2,2019__1-2-3-2-1,15.0,9.0,6.0
2019,2019,2-3-5-3-2,2-1-2-3-1,2019__2-3-5-3-2,2019__2-1-2-3-1,15.0,9.0,6.0
2019,2019,2-3-5-3-2,1-1-2-2-1,2019__2-3-5-3-2,2019__1-1-2-2-1,15.0,7.0,8.0
2019,2019,2-3-5-3-2,1-1-3-1-1,2019__2-3-5-3-2,2019__1-1-3-1-1,15.0,7.0,8.0
2019,2019,4-4-1-1-5,3-1-1-1-5,2019__4-4-1-1-5,2019__3-1-1-1-5,15.0,11.0,4.0
2019,2019,4-4-1-1-5,2-1-1-1-5,2019__4-4-1-1-5,2019__2-1-1-1-5,15.0,10.0,5.0
2019,2019,1-3-5-4-1,1-2-3-2-1,2019__1-3-5-4-1,2019__1-2-3-2-1,14.0,9.0,5.0
2019,2019,1-3-5-4-1,1-1-2-2-1,2019__1-3-5-4-1,2019__1-1-2-2-1,14.0,7.0,7.0
