Country,years_available,min_year,max_year,mean_gdp_growth_pre_shock,median_gdp_growth_pre_shock,gdp_growth_volatility_sd,gdp_growth_min_pre_shock,gdp_growth_max_pre_shock,shock_id,shock_label,baseline_year,window_start,window_end,expected_year_count,min_required_years,coverage_rate,sufficient_window_coverage,gdp_growth_stability_score_0_100,volatility_feature_role
GRC,8,2012,2019,-0.5320181351395779,0.380214730899173,3.476559033522939,-8.33113430484122,2.27718067971047,2019,COVID shock,2019,2012,2019,8,5,1.0,True,59.01288003641606,diagnostic_or_sensitivity_only_not_final_ordering
HUN,8,2012,2019,3.241625454186741,3.8920000250288354,2.21043566589442,-1.3394844645809,5.60613813906265,2019,COVID shock,2019,2012,2019,8,5,1.0,True,75.79464982818477,diagnostic_or_sensitivity_only_not_final_ordering
IDN,8,2012,2019,5.2208424215133125,5.051427542075475,0.38423021471499397,4.87632230022123,6.03005065305614,2019,COVID shock,2019,2012,2019,8,5,1.0,True,100.0,diagnostic_or_sensitivity_only_not_final_ordering
IND,8,2012,2019,6.578244219486255,6.62461738184443,1.4244669926004456,3.87143694071098,8.25630550167386,2019,COVID shock,2019,2012,2019,8,5,1.0,True,86.21223288209086,diagnostic_or_sensitivity_only_not_final_ordering
IRL,8,2012,2019,7.473850087770987,6.330769798968834,7.928865752794772,-0.405029597483917,24.62398557014,2019,COVID shock,2019,2012,2019,8,5,1.0,True,0.0,diagnostic_or_sensitivity_only_not_final_ordering
ISL,8,2012,2019,3.2438515484992974,3.541012014535315,1.7654778636140847,1.13821229128592,6.21808765064792,2019,COVID shock,2019,2012,2019,8,5,1.0,True,81.69232109453706,diagnostic_or_sensitivity_only_not_final_ordering
ISR,8,2012,2019,3.6208200000026114,3.8857100000128098,0.8587048297259651,2.2359999999633,4.53581999999718,2019,COVID shock,2019,2012,2019,8,5,1.0,True,93.71109959366265,diagnostic_or_sensitivity_only_not_final_ordering
ITA,8,2012,2019,0.004593302723804885,0.627904623062226,1.6398690868754475,-3.12523877282995,1.60369995294101,2019,COVID shock,2019,2012,2019,8,5,1.0,True,83.35719643682043,diagnostic_or_sensitivity_only_not_final_ordering
JPN,8,2012,2019,1.1507734937800838,1.264683054199566,0.7651355724839902,-0.30849692105612,1.99727653415519,2019,COVID shock,2019,2012,2019,8,5,1.0,True,94.95130870342953,diagnostic_or_sensitivity_only_not_final_ordering
KOR,8,2012,2019,3.0085839214261814,3.17382158580632,0.38919890975669735,2.31380210595476,3.43319176397201,2019,COVID shock,2019,2012,2019,8,5,1.0,True,99.93414267638741,diagnostic_or_sensitivity_only_not_final_ordering
LTU,8,2012,2019,3.989381908118765,4.21491010781145,0.8453936267685128,2.67192209135325,4.91836859429983,2019,COVID shock,2019,2012,2019,8,5,1.0,True,93.88753227739227,diagnostic_or_sensitivity_only_not_final_ordering
LUX,8,2012,2019,2.546097614514844,2.445726536835645,1.172210409555869,1.31711904640045,4.97819043681628,2019,COVID shock,2019,2012,2019,8,5,1.0,True,89.55575533286228,diagnostic_or_sensitivity_only_not_final_ordering
LVA,8,2012,2019,3.2769222657857475,2.97531737298983,1.9874897497602841,0.675372771884221,7.30524057200897,2019,COVID shock,2019,2012,2019,8,5,1.0,True,78.7496754885877,diagnostic_or_sensitivity_only_not_final_ordering
MEX,8,2012,2019,1.8543765780429502,1.921905298671295,1.2012779499571482,-0.392690467905817,3.55321077418754,2019,COVID shock,2019,2012,2019,8,5,1.0,True,89.17048105083012,diagnostic_or_sensitivity_only_not_final_ordering
NLD,8,2012,2019,1.561226745318275,2.18968578507149,1.3395961428759113,-0.977826174318289,2.78150835992657,2019,COVID shock,2019,2012,2019,8,5,1.0,True,87.33714937800598,diagnostic_or_sensitivity_only_not_final_ordering
NOR,8,2012,2019,1.8472114980644188,1.756998133271015,0.6605987821160622,1.11039123948304,2.82395674264371,2019,COVID shock,2019,2012,2019,8,5,1.0,True,96.33688644062178,diagnostic_or_sensitivity_only_not_final_ordering
NZL,8,2012,2019,3.3500742475874974,3.727200145978355,0.8863197679850432,1.86632828302664,4.2513788466025,2019,COVID shock,2019,2012,2019,8,5,1.0,True,93.34507875515166,diagnostic_or_sensitivity_only_not_final_ordering
POL,8,2012,2019,3.694781086068572,4.176138160787724,1.8624320873710858,0.684238252555737,6.24586266417478,2019,COVID shock,2019,2012,2019,8,5,1.0,True,80.40724611288094,diagnostic_or_sensitivity_only_not_final_ordering
PRT,8,2012,2019,1.0383761906948066,1.7969696756644549,2.4800033052306523,-4.05090231903788,3.31472039964242,2019,COVID shock,2019,2012,2019,8,5,1.0,True,72.22167883474641,diagnostic_or_sensitivity_only_not_final_ordering
RUS,8,2012,2019,1.4253456014239978,1.79061573005294,1.8063514729754002,-1.97271925256699,4.02408606567014,2019,COVID shock,2019,2012,2019,8,5,1.0,True,81.15056385318306,diagnostic_or_sensitivity_only_not_final_ordering
SVK,8,2012,2019,2.664736976616471,2.4919253073444,1.4153281929464196,0.703323545247198,5.17687909722133,2019,COVID shock,2019,2012,2019,8,5,1.0,True,86.33336265181796,diagnostic_or_sensitivity_only_not_final_ordering
SVN,8,2012,2019,2.188747225285107,2.898624543406645,2.716628912318808,-2.91553858750771,5.17440277397358,2019,COVID shock,2019,2012,2019,8,5,1.0,True,69.08533638461952,diagnostic_or_sensitivity_only_not_final_ordering
SWE,8,2012,2019,1.9749718274473809,2.0070004984889946,1.3529223732488058,-0.414397702454402,4.38824673608589,2019,COVID shock,2019,2012,2019,8,5,1.0,True,87.16051751413882,diagnostic_or_sensitivity_only_not_final_ordering
TUR,8,2012,2019,4.95269390988802,4.70421078991429,2.3849368016354786,1.30162360375296,8.48825683496242,2019,COVID shock,2019,2012,2019,8,5,1.0,True,73.48173312252942,diagnostic_or_sensitivity_only_not_final_ordering
USA,8,2012,2019,2.462964741402315,2.49072105773853,0.3906464487314569,1.81945147620521,2.96650506916597,2019,COVID shock,2019,2012,2019,8,5,1.0,True,99.91495634236965,diagnostic_or_sensitivity_only_not_final_ordering
ZAF,8,2012,2019,1.407075486129906,1.3678527626563048,0.7653571121435621,0.259935577075867,2.48546067325718,2019,COVID shock,2019,2012,2019,8,5,1.0,True,94.94837231692745,diagnostic_or_sensitivity_only_not_final_ordering
