Country,shock_id,baseline_year,profile_code,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,recovery_years,recovery_status,target_flag
FIN,2019,2019,2-2-4-4-4,16.0,2,2,4,4,4,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,baseline_5_variables,5,2,False,0.1818181818181818,0.0303030303030303,0.7878787878787878,0.0816261203585147,0.0406530089628681,0.8777208706786171,0.1364548494983277,0.0339660339660339,1.0,recovered,False
FRA,2019,2019,1-1-4-3-3,12.0,1,1,4,3,3,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,baseline_5_variables,5,3,False,0.0606060606060606,0.2121212121212121,0.7272727272727273,0.0112035851472471,0.1437259923175416,0.8450704225352113,0.0120401337792642,0.0029970029970029,2.0,recovered,True
GBR,2019,2019,1-5-4-5-4,19.0,1,5,4,5,4,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,baseline_5_variables,5,2,False,0.1212121212121212,0.0303030303030303,0.8484848484848485,0.1277208706786171,0.0060819462227912,0.8661971830985915,0.2,0.0497835497835497,2.0,recovered,False
GRC,2019,2019,1-1-2-2-1,7.0,1,1,2,2,1,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,baseline_5_variables,5,4,False,0.0,0.6666666666666666,0.3333333333333333,0.0009603072983354,0.6398847631241997,0.3591549295774648,0.0,0.0,2.0,recovered,False
HRV,2019,2019,2-2-2-1-3,10.0,2,2,2,1,3,64.46613088404133,82.85411622276028,18.685613976028822,21.70648555061525,15.208864633434748,baseline_5_variables,5,3,False,0.0,0.303030303030303,0.696969696969697,0.0073623559539052,0.306978233034571,0.6856594110115237,0.0,0.0,,,False
HUN,2019,2019,2-5-3-2-2,14.0,2,5,3,2,2,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,baseline_5_variables,5,2,False,0.0909090909090909,0.0303030303030303,0.8787878787878788,0.0380921895006402,0.0611395646606914,0.9007682458386684,0.0321070234113712,0.0079920079920079,1.0,recovered,False
IRL,2019,2019,3-4-2-5-2,16.0,3,4,2,5,2,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,baseline_5_variables,5,1,True,0.0606060606060606,0.0,0.9393939393939394,0.0765044814340589,0.0304097311139564,0.8930857874519846,0.0481605351170568,0.0119880119880119,0.0,no_negative_growth_in_shock_window,False
ITA,2019,2019,1-1-3-1-1,7.0,1,1,3,1,1,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,baseline_5_variables,5,4,False,0.0,0.5757575757575758,0.4242424242424242,0.0006402048655569,0.5998719590268886,0.3994878361075544,0.0,0.0,2.0,recovered,True
KOR,2019,2019,4-5-5-5-1,20.0,4,5,5,5,1,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,baseline_5_variables,5,1,True,0.1515151515151515,0.0,0.8484848484848485,0.159731113956466,0.0028809218950064,0.8373879641485276,0.3397993311036789,0.0845820845820845,1.0,recovered,False
LTU,2019,2019,4-2-1-4-2,13.0,4,2,1,4,2,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,baseline_5_variables,5,2,False,0.0,0.0909090909090909,0.9090909090909092,0.0201664532650448,0.102112676056338,0.8777208706786171,0.0,0.0,0.0,no_negative_growth_in_shock_window,False
LUX,2019,2019,5-3-2-5-1,16.0,5,3,2,5,1,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,baseline_5_variables,5,1,True,0.0606060606060606,0.0,0.9393939393939394,0.0476952624839948,0.0188860435339308,0.9334186939820742,0.0321070234113712,0.0079920079920079,1.0,recovered,False
LVA,2019,2019,4-2-1-3-3,13.0,4,2,1,3,3,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,baseline_5_variables,5,3,False,0.0303030303030303,0.1515151515151515,0.8181818181818182,0.0227272727272727,0.1149167733674775,0.8623559539052497,0.0013377926421404,0.0003330003330003,1.0,recovered,False
NLD,2019,2019,3-4-4-4-2,17.0,3,4,4,4,2,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,baseline_5_variables,5,2,False,0.1212121212121212,0.0303030303030303,0.8484848484848485,0.1225992317541613,0.0304097311139564,0.8469910371318822,0.2046822742474916,0.0509490509490509,1.0,recovered,False
