year,country,Governance score (0-100)
2006,CAN,84.21155949999999
2006,CHE,85.6854354
2006,CHL,79.70664459999999
2006,CHN,31.4688259
2006,COL,53.8271896
2006,CRI,75.2605801
2006,CYP,77.92024959999999
2006,CZE,74.35365709999999
2006,DEU,84.5315505
2006,DNK,88.3775282
2006,ESP,78.6807415
2006,EST,74.8736929
2006,FIN,86.8399118
2006,FRA,80.60608529999999
2006,GBR,82.34164609999999
2006,GRC,77.6959534
2006,HRV,68.1681095
2006,HUN,75.81743759999999
2006,IDN,57.464849199999996
2006,IND,66.47648869999999
2006,IRL,83.66491479999999
2006,ISL,85.25257959999999
2006,ISR,70.47833829999999
2006,ITA,77.6846066
2006,JPN,75.89398469999999
2006,LTU,71.9705252
2006,LUX,84.7201276
2006,LVA,70.4450696
2006,MEX,62.5690265
2006,MKD,61.1406922
2006,MLT,77.5292877
2006,NLD,87.7266526
2006,NOR,87.1986008
2006,NZL,85.2288147
2006,PER,60.7218734
2006,POL,73.2319419
2006,PRT,82.8363084
2006,ROU,66.2093062
2006,RUS,47.0712516
2006,SAU,29.37588
2006,SGP,57.0983156
2006,SVK,73.8997091
2006,SVN,75.9138675
2006,SWE,86.65629489999999
2006,TUR,58.461160899999996
2006,USA,79.3544666
2006,ZAF,69.3205749
2007,ARG,65.6717505
2007,AUS,84.7218673
2007,AUT,84.9349356
2007,BEL,84.48492739999999
2007,BGR,69.11615809999999
2007,BRA,67.1091844
2007,CAN,84.5261405
2007,CHE,85.681247
2007,CHL,79.84767269999999
2007,CHN,31.2029805
2007,COL,54.6667438
2007,CRI,75.4712593
2007,CYP,78.165414
2007,CZE,73.58299629999999
2007,DEU,84.4210853
2007,DNK,87.2727221
2007,ESP,79.85382659999999
2007,EST,75.0732282
2007,FIN,86.3480113
2007,FRA,81.5281392
2007,GBR,81.5866552
2007,GRC,78.27760669999999
2007,HRV,68.3518401
2007,HUN,75.3628664
2007,IDN,58.036928499999995
2007,IND,66.5265546
2007,IRL,84.02296489999999
2007,ISL,85.6645741
2007,ISR,69.3394986
2007,ITA,78.2185305
2007,JPN,77.0953415
2007,LTU,71.8616195
2007,LUX,84.7477518
2007,LVA,70.4685562
2007,MEX,61.9502418
2007,MKD,61.7963477
2007,MLT,78.2659623
2007,NLD,87.6286229
2007,NOR,87.4139794
