shock_id,baseline_year,epsilon,dominating_country,dominated_country
2007,2007,0.2,EST,GRC
2007,2007,0.2,EST,HUN
2007,2007,0.2,EST,IRL
2007,2007,0.2,EST,ITA
2007,2007,0.2,EST,LTU
2007,2007,0.2,EST,LUX
2007,2007,0.2,EST,LVA
2007,2007,0.2,EST,POL
2007,2007,0.2,EST,PRT
2007,2007,0.2,EST,SVK
2007,2007,0.2,EST,SVN
2007,2007,0.2,FIN,BEL
2007,2007,0.2,FIN,CZE
2007,2007,0.2,FIN,DEU
2007,2007,0.2,FIN,ESP
2007,2007,0.2,FIN,FRA
2007,2007,0.2,FIN,GRC
2007,2007,0.2,FIN,HUN
2007,2007,0.2,FIN,ITA
2007,2007,0.2,FIN,POL
2007,2007,0.2,FIN,PRT
2007,2007,0.2,FIN,SVK
2007,2007,0.2,FIN,SWE
2007,2007,0.2,FRA,BEL
2007,2007,0.2,FRA,DEU
2007,2007,0.2,FRA,GRC
2007,2007,0.2,FRA,HUN
2007,2007,0.2,FRA,PRT
2007,2007,0.2,GBR,BEL
2007,2007,0.2,GBR,GRC
2007,2007,0.2,GBR,ITA
2007,2007,0.2,HUN,GRC
2007,2007,0.2,HUN,ITA
2007,2007,0.2,HUN,PRT
2007,2007,0.2,IRL,ESP
2007,2007,0.2,IRL,GRC
2007,2007,0.2,IRL,ITA
2007,2007,0.2,IRL,LUX
2007,2007,0.2,IRL,LVA
2007,2007,0.2,IRL,PRT
2007,2007,0.2,IRL,SVK
2007,2007,0.2,LTU,ESP
2007,2007,0.2,LTU,GRC
2007,2007,0.2,LTU,HUN
2007,2007,0.2,LTU,IRL
2007,2007,0.2,LTU,ITA
2007,2007,0.2,LTU,LVA
2007,2007,0.2,LTU,PRT
2007,2007,0.2,LTU,SVK
2007,2007,0.2,LUX,BEL
2007,2007,0.2,LUX,ESP
2007,2007,0.2,LUX,GRC
2007,2007,0.2,LUX,IRL
2007,2007,0.2,LUX,ITA
2007,2007,0.2,LUX,PRT
2007,2007,0.2,LVA,GRC
2007,2007,0.2,LVA,HUN
2007,2007,0.2,LVA,ITA
2007,2007,0.2,LVA,PRT
2007,2007,0.2,LVA,SVK
2007,2007,0.2,NLD,BEL
2007,2007,0.2,NLD,CZE
2007,2007,0.2,NLD,ESP
2007,2007,0.2,NLD,FRA
2007,2007,0.2,NLD,GBR
2007,2007,0.2,NLD,GRC
2007,2007,0.2,NLD,HUN
2007,2007,0.2,NLD,IRL
2007,2007,0.2,NLD,ITA
2007,2007,0.2,NLD,POL
2007,2007,0.2,NLD,PRT
2007,2007,0.2,NLD,SVK
2007,2007,0.2,NLD,SVN
2007,2007,0.2,POL,GRC
2007,2007,0.2,POL,SVK
2007,2007,0.2,PRT,HUN
2007,2007,0.2,SVN,CZE
2007,2007,0.2,SVN,GRC
2007,2007,0.2,SVN,HUN
2007,2007,0.2,SVN,ITA
2007,2007,0.2,SVN,LTU
2007,2007,0.2,SVN,LUX
2007,2007,0.2,SVN,LVA
2007,2007,0.2,SVN,POL
2007,2007,0.2,SVN,PRT
2007,2007,0.2,SVN,SVK
2007,2007,0.2,SWE,AUT
2007,2007,0.2,SWE,BEL
2007,2007,0.2,SWE,CZE
2007,2007,0.2,SWE,DEU
2007,2007,0.2,SWE,ESP
2007,2007,0.2,SWE,FIN
2007,2007,0.2,SWE,FRA
2007,2007,0.2,SWE,GBR
2007,2007,0.2,SWE,GRC
2007,2007,0.2,SWE,HUN
2007,2007,0.2,SWE,IRL
2007,2007,0.2,SWE,ITA
2007,2007,0.2,SWE,POL
2007,2007,0.2,SWE,PRT
2007,2007,0.2,SWE,SVK
2007,2007,0.2,SWE,SVN
2007,2007,0.2,USA,AUT
2007,2007,0.2,USA,BEL
2007,2007,0.2,USA,DEU
2007,2007,0.2,USA,ESP
2007,2007,0.2,USA,FRA
2007,2007,0.2,USA,GBR
2007,2007,0.2,USA,GRC
2007,2007,0.2,USA,HUN
2007,2007,0.2,USA,ITA
2007,2007,0.2,USA,NLD
2007,2007,0.2,USA,POL
2007,2007,0.2,USA,PRT
2019,2019,0.0,AUS,COL
2019,2019,0.0,AUS,ESP
2019,2019,0.0,AUS,GRC
