Country,Year,gdp_growth,shock_id,window_start,window_end
BRA,2017,1.32286905393206,2019,2012,2019
BRA,2018,1.81706218395599,2019,2012,2019
BRA,2019,1.22077782269483,2019,2012,2019
CAN,2012,1.75566131368798,2019,2012,2019
CAN,2013,2.3258135613525,2019,2012,2019
CAN,2014,2.87346677753097,2019,2012,2019
CAN,2015,0.649971004305851,2019,2012,2019
CAN,2016,1.03855091867276,2019,2012,2019
CAN,2017,3.03383491533961,2019,2012,2019
CAN,2018,2.74296343945575,2019,2012,2019
CAN,2019,1.9084319151316,2019,2012,2019
CHE,2012,1.12413589064862,2019,2012,2019
CHE,2013,1.83612390632481,2019,2012,2019
CHE,2014,2.54342348029129,2019,2012,2019
CHE,2015,1.45450324911954,2019,2012,2019
CHE,2016,1.91159106268632,2019,2012,2019
CHE,2017,1.42034612654609,2019,2012,2019
CHE,2018,3.32743250824354,2019,2012,2019
CHE,2019,1.11532189907696,2019,2012,2019
CHL,2012,6.15534001856097,2019,2012,2019
CHL,2013,3.30850824706906,2019,2012,2019
CHL,2014,1.79264947140921,2019,2012,2019
CHL,2015,2.15194249981108,2019,2012,2019
CHL,2016,1.75303874904595,2019,2012,2019
CHL,2017,1.35769537347763,2019,2012,2019
CHL,2018,3.99002947785996,2019,2012,2019
CHL,2019,0.644223402672696,2019,2012,2019
CHN,2012,7.86371979136207,2019,2012,2019
CHN,2013,7.76614654418883,2019,2012,2019
CHN,2014,7.42577447244798,2019,2012,2019
CHN,2015,7.04131899564941,2019,2012,2019
CHN,2016,6.84876800479402,2019,2012,2019
CHN,2017,6.94719623279551,2019,2012,2019
CHN,2018,6.74977107879057,2019,2012,2019
CHN,2019,6.1101203304619,2019,2012,2019
COL,2012,3.91263576716114,2019,2012,2019
COL,2013,5.13399351995671,2019,2012,2019
COL,2014,4.49903000110972,2019,2012,2019
COL,2015,2.95590137527524,2019,2012,2019
COL,2016,2.08738250162795,2019,2012,2019
COL,2017,1.35936086788746,2019,2012,2019
COL,2018,2.56432428277704,2019,2012,2019
COL,2019,3.18685539245534,2019,2012,2019
CRI,2012,4.88259241028843,2019,2012,2019
CRI,2013,2.49476611212569,2019,2012,2019
CRI,2014,3.54210987752424,2019,2012,2019
CRI,2015,3.6520809679451,2019,2012,2019
CRI,2016,4.204323251783,2019,2012,2019
CRI,2017,4.15769896287717,2019,2012,2019
CRI,2018,2.6159044044365,2019,2012,2019
CRI,2019,2.41751181741532,2019,2012,2019
CZE,2012,-0.770668190622742,2019,2012,2019
CZE,2013,-0.041812416044754,2019,2012,2019
CZE,2014,2.24521219862634,2019,2012,2019
