Country,shock_id,baseline_year,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,debt_capacity_level_3,employment_strength_level_3,rd_intensity_level_3,human_capital_tertiary_level_3,energy_security_level_3,profile_code_3levels,profile_digit_sum_3levels,levels,debt_capacity_level_4,employment_strength_level_4,rd_intensity_level_4,human_capital_tertiary_level_4,energy_security_level_4,profile_code_4levels,profile_digit_sum_4levels,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,profile_code_5levels,profile_digit_sum_5levels
LTU,2019,2019,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,3.0,2.0,1.0,3.0,1.0,3-2-1-3-1,10.0,3,,,,,,,,,,,,,,
LUX,2019,2019,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,3.0,2.0,1.0,3.0,1.0,3-2-1-3-1,10.0,3,,,,,,,,,,,,,,
LVA,2019,2019,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,3.0,1.0,1.0,2.0,2.0,3-1-1-2-2,9.0,3,,,,,,,,,,,,,,
NLD,2019,2019,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,2.0,2.0,3.0,2.0,1.0,2-2-3-2-1,10.0,3,,,,,,,,,,,,,,
NZL,2019,2019,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,3.0,3.0,2.0,2.0,3.0,3-3-2-2-3,13.0,3,,,,,,,,,,,,,,
POL,2019,2019,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,2.0,3.0,2.0,2.0,2.0,2-3-2-2-2,11.0,3,,,,,,,,,,,,,,
PRT,2019,2019,38.51894374282434,82.64981840193705,26.544367548649976,24.52017759818624,7.398281928082919,1.0,1.0,2.0,1.0,1.0,1-1-2-1-1,6.0,3,,,,,,,,,,,,,,
ROU,2019,2019,84.95981630309988,92.82309322033898,3.857956731537156,6.134073406177688,23.2781103467362,3.0,3.0,1.0,1.0,3.0,3-3-1-1-3,11.0,3,,,,,,,,,,,,,,
SVK,2019,2019,77.61194029850746,85.85805084745763,12.355061647969832,23.108830516661,11.77511808391389,2.0,2.0,1.0,1.0,2.0,2-2-1-1-2,8.0,3,,,,,,,,,,,,,,
SVN,2019,2019,67.27898966704937,90.83308111380146,42.932603292166014,40.45413332556315,16.66366192322806,1.0,2.0,2.0,2.0,2.0,1-2-2-2-2,9.0,3,,,,,,,,,,,,,,
