,profile_a,profile_b,relationship
422,20322,23002,incomparable
423,20322,23021,incomparable
424,20322,23110,incomparable
425,20322,24012,incomparable
426,20322,24434,incomparable
427,20322,30342,incomparable
428,20322,31333,incomparable
429,20322,31334,incomparable
430,20322,33324,incomparable
431,20322,33434,incomparable
432,20322,34201,incomparable
433,20322,34224,incomparable
434,20322,40441,incomparable
435,20322,41000,incomparable
436,20322,42243,incomparable
437,20322,42334,incomparable
438,20322,43000,incomparable
439,20322,44232,incomparable
440,21211,22001,incomparable
441,21211,23002,incomparable
442,21211,23021,incomparable
443,21211,23110,incomparable
444,21211,24012,incomparable
445,21211,24434,incomparable
446,21211,30342,incomparable
447,21211,31333,incomparable
448,21211,31334,incomparable
449,21211,33324,incomparable
450,21211,33434,incomparable
451,21211,34201,incomparable
452,21211,34224,incomparable
453,21211,40441,incomparable
454,21211,41000,incomparable
455,21211,42243,incomparable
456,21211,42334,42334 dominates 21211
457,21211,43000,incomparable
458,21211,44232,incomparable
459,22001,23002,incomparable
460,22001,23021,incomparable
461,22001,23110,incomparable
462,22001,24012,incomparable
463,22001,24434,incomparable
464,22001,30342,incomparable
465,22001,31333,incomparable
466,22001,31334,incomparable
467,22001,33324,incomparable
468,22001,33434,incomparable
469,22001,34201,incomparable
470,22001,34224,incomparable
471,22001,40441,incomparable
472,22001,41000,incomparable
473,22001,42243,incomparable
474,22001,42334,incomparable
475,22001,43000,incomparable
476,22001,44232,44232 dominates 22001
477,23002,23021,incomparable
478,23002,23110,incomparable
479,23002,24012,incomparable
480,23002,24434,incomparable
481,23002,30342,incomparable
482,23002,31333,incomparable
483,23002,31334,incomparable
484,23002,33324,incomparable
485,23002,33434,33434 dominates 23002
486,23002,34201,incomparable
487,23002,34224,incomparable
488,23002,40441,incomparable
489,23002,41000,incomparable
490,23002,42243,incomparable
491,23002,42334,incomparable
492,23002,43000,incomparable
493,23002,44232,44232 dominates 23002
494,23021,23110,incomparable
495,23021,24012,incomparable
496,23021,24434,incomparable
497,23021,30342,incomparable
498,23021,31333,incomparable
499,23021,31334,incomparable
500,23021,33324,incomparable
501,23021,33434,33434 dominates 23021
502,23021,34201,incomparable
503,23021,34224,incomparable
504,23021,40441,incomparable
505,23021,41000,incomparable
506,23021,42243,incomparable
507,23021,42334,incomparable
508,23021,43000,incomparable
509,23021,44232,incomparable
510,23110,24012,incomparable
511,23110,24434,incomparable
512,23110,30342,incomparable
513,23110,31333,incomparable
514,23110,31334,incomparable
515,23110,33324,incomparable
516,23110,33434,incomparable
517,23110,34201,incomparable
518,23110,34224,incomparable
519,23110,40441,incomparable
520,23110,41000,incomparable
521,23110,42243,incomparable
522,23110,42334,incomparable
523,23110,43000,incomparable
524,23110,44232,incomparable
525,24012,24434,incomparable
526,24012,30342,incomparable
527,24012,31333,incomparable
528,24012,31334,incomparable
529,24012,33324,incomparable
530,24012,33434,incomparable
531,24012,34201,incomparable
532,24012,34224,incomparable
533,24012,40441,incomparable
534,24012,41000,incomparable
535,24012,42243,incomparable
536,24012,42334,incomparable
537,24012,43000,incomparable
538,24012,44232,44232 dominates 24012
539,24434,30342,incomparable
540,24434,31333,incomparable
541,24434,31334,incomparable
542,24434,33324,incomparable
543,24434,33434,incomparable
544,24434,34201,incomparable
545,24434,34224,incomparable
546,24434,40441,incomparable
547,24434,41000,incomparable
548,24434,42243,incomparable
549,24434,42334,incomparable
550,24434,43000,incomparable
551,24434,44232,incomparable
552,30342,31333,incomparable
553,30342,31334,incomparable
554,30342,33324,incomparable
555,30342,33434,incomparable
556,30342,34201,incomparable
557,30342,34224,incomparable
558,30342,40441,incomparable
559,30342,41000,incomparable
560,30342,42243,incomparable
561,30342,42334,incomparable
562,30342,43000,incomparable
563,30342,44232,incomparable
564,31333,31334,incomparable
