shock_id,baseline_year,Country,profile_code,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,score_role,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels
2007,2007,SVN,5-4-3-2-4,1,True,0.2916666666666667,0.0,0.7083333333333334,0.1533290653008963,0.015044814340588988,0.8316261203585147,0.15467359050445104,0.08120740019474197,diagnostic_poset_score_not_index,18.0,5,4,3,2,4,81.1320754716981,81.12812459102211,34.0933110360528,24.99601701506888,34.359418366661046,baseline_5_variables,5
2007,2007,SWE,3-3-5-4-4,2,False,0.3333333333333333,0.041666666666666664,0.625,0.23015364916773368,0.01120358514724712,0.7586427656850192,0.23330860534124628,0.12249269717624148,diagnostic_poset_score_not_index,19.0,3,3,5,4,4,64.84607745779543,63.7482004973171,96.69552068284526,51.2964706259738,42.38965728121482,baseline_5_variables,5
2007,2007,USA,2-4-5-5-4,1,True,0.3333333333333333,0.0,0.6666666666666666,0.2557618437900128,0.004801536491677336,0.7394366197183099,0.28282640949554894,0.14849074975657253,diagnostic_poset_score_not_index,20.0,2,4,5,5,4,48.44663866194638,83.6932338699123,75.01278612171896,77.13898717309793,47.194218437799535,baseline_5_variables,5
2019,2019,AUS,3-3-3-5-5,1,True,0.24242424242424243,0.0,0.7575757575757576,0.21574903969270168,0.008322663252240717,0.7759282970550576,0.40535117056856185,0.1008991008991009,diagnostic_poset_score_not_index,19.0,3,3,3,5,5,70.73261383439076,88.08641041162227,36.31892606143274,72.49028470317627,100.0,baseline_5_variables,5
2019,2019,AUT,2-3-5-3-2,2,False,0.12121212121212122,0.030303030303030304,0.8484848484848485,0.057298335467349554,0.045774647887323945,0.8969270166453265,0.09230769230769231,0.022977022977022976,diagnostic_poset_score_not_index,15.0,2,3,5,3,2,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,baseline_5_variables,5
2019,2019,BEL,1-3-5-4-1,2,False,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.01888604353393086,0.04769526248399488,0.9334186939820742,0.030100334448160536,0.007492507492507493,diagnostic_poset_score_not_index,14.0,1,3,5,4,1,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,baseline_5_variables,5
2019,2019,BGR,5-4-1-2-4,3,False,0.030303030303030304,0.06060606060606061,0.9090909090909091,0.05089628681177977,0.02528809218950064,0.9238156209987196,0.006020066889632107,0.0014985014985014985,diagnostic_poset_score_not_index,16.0,5,4,1,2,4,93.62801377726753,91.94158595641646,12.749112297042558,28.496841117990552,20.64124573945459,baseline_5_variables,5
2019,2019,CAN,3-3-3-5-5,1,True,0.24242424242424243,0.0,0.7575757575757576,0.21574903969270168,0.008322663252240717,0.7759282970550576,0.40535117056856185,0.1008991008991009,diagnostic_poset_score_not_index,19.0,3,3,3,5,5,74.53368272594955,86.11153147699758,35.47368736362677,100.0,54.48646227604982,baseline_5_variables,5
2019,2019,CHE,5-4-5-4-3,1,True,0.42424242424242425,0.0,0.5757575757575758,0.38380281690140844,0.0035211267605633804,0.6126760563380281,1.0,0.24891774891774893,diagnostic_poset_score_not_index,21.0,5,4,5,4,3,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,baseline_5_variables,5
2019,2019,COL,2-1-1-1-5,4,False,0.0,0.12121212121212122,0.8787878787878788,0.002880921895006402,0.15973111395646608,0.8373879641485276,0.0,0.0,diagnostic_poset_score_not_index,10.0,2,1,1,1,5,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,baseline_5_variables,5
