Country,Year,Value,Series_Code
CHE,2007,72.9906252698268,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2008,73.7015403622876,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2009,72.0492657958401,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2010,75.9949124337328,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2011,75.562535195877,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2012,75.8563162566395,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2013,77.2590106793635,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2014,78.0189370788107,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2015,77.5034890979767,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2016,78.0024501813063,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2017,79.2477519890446,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2018,81.0821390408905,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2019,81.532669221585,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2020,82.8798878631982,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2021,85.0241188301183,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2022,86.1071615224608,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2023,85.1926863711241,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHE,2024,86.1819330427369,CHE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2002,22.2237856051216,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2003,22.5472233885917,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2004,23.4448187000174,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2005,24.7443629557117,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2006,25.7212518600635,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2007,26.7655397390113,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2008,27.3992147871773,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2009,27.5699474951599,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2010,26.2830663354996,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2011,26.8512735539432,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2012,28.1904062312639,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2013,28.6072985742314,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2014,29.1024106078335,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2015,29.2416888233037,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2016,29.6480460120872,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2017,29.5668255588217,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2018,30.1838941046526,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2019,30.0463471785988,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2020,34.0422206469781,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2021,34.339237578135,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
